,id,N,P,K,temperature,humidity,ph,rainfall,crop,crop_code,depto_code,id_depto,departamento_colombia,zona_vida,temperature_min,temperature_max,rainfall_min,rainfall_max,Longitud,Latitud
18,19,77,38,36,"21,87","80,19","5,95","224,555",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
19,20,88,35,40,"23,58","83,59","5,85","291,299",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
20,21,89,45,36,"21,33","80,48","6,44","185,497",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
21,22,76,40,43,"25,16","83,12","5,07","231,384",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
22,23,67,59,41,"21,95","80,97","6,01","213,356",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
23,24,83,41,43,"21,05","82,68","6,25","233,108",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
24,25,98,47,37,"23,48","81,33","7,38","224,058",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
25,26,66,53,41,"25,08","80,52","7,78","257,004",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
26,27,97,59,43,"26,36","84,04","6,29","271,359",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
27,28,97,50,41,"24,53","80,55","7,07","260,263",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
28,29,60,49,44,"20,78","84,50","6,25","240,081",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
29,30,84,51,35,"22,30","80,64","6,04","197,979",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
30,31,73,57,41,"21,45","84,94","5,83","272,202",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
31,32,92,35,40,"22,18","80,33","6,36","200,088",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
32,33,85,37,39,"24,53","82,74","6,36","224,676",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
33,34,98,53,38,"20,27","81,64","5,02","270,442",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
34,35,88,54,44,"25,74","83,88","6,15","233,132",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
35,36,95,55,42,"26,80","82,15","5,95","193,347",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
36,37,99,57,35,"26,76","81,18","5,96","272,3",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
37,38,95,39,36,"23,86","83,15","5,56","285,249",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
38,39,60,43,44,"21,02","82,95","7,42","298,402",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
39,40,63,44,41,"24,17","83,73","5,58","257,034",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
40,41,62,42,36,"22,78","82,07","6,43","248,718",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
41,42,64,45,43,"25,63","83,53","5,54","209,9",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
42,43,83,60,36,"25,60","80,15","6,90","200,835",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
43,44,82,40,40,"23,83","84,81","6,27","298,56",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
44,45,85,52,45,"26,31","82,37","7,22","265,536",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
45,46,91,35,38,"24,90","80,53","6,13","183,679",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
46,47,76,49,42,"24,96","84,48","5,21","196,956",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
47,48,74,39,38,"23,24","84,59","7,78","233,045",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
48,49,79,43,39,"21,67","80,71","7,06","210,814",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
49,50,88,55,45,"24,64","80,41","7,73","253,72",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
50,51,60,36,43,"23,43","83,06","5,29","219,905",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
51,52,76,60,39,"20,05","80,35","6,77","208,581",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
52,53,93,56,42,"23,86","82,23","7,38","195,095",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
53,54,65,60,43,"21,97","81,90","5,66","227,364",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
54,55,95,52,36,"26,23","83,84","5,54","286,508",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
55,56,75,38,39,"23,45","84,79","6,22","283,934",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
56,57,74,54,38,"25,66","83,47","7,12","217,379",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
57,58,91,36,45,"24,44","82,45","5,95","267,976",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
58,59,71,46,40,"20,28","82,12","7,24","191,954",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
59,60,99,55,35,"21,72","80,24","6,50","277,963",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
60,61,72,40,38,"20,41","82,21","7,59","245,151",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
61,62,83,58,45,"25,76","83,52","5,88","245,663",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
62,63,93,58,38,"20,62","83,77","6,93","279,545",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
63,64,70,36,42,"21,84","80,73","6,95","202,384",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
64,65,76,47,42,"20,08","83,29","5,74","263,637",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
65,66,99,41,36,"24,46","82,75","6,74","182,562",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
66,67,99,54,37,"21,14","80,34","5,60","198,673",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
67,68,86,59,35,"25,79","82,11","6,95","243,512",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
68,69,69,46,41,"23,64","80,29","5,01","263,11",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
69,70,91,56,37,"23,43","80,57","6,36","269,504",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
70,71,61,52,41,"24,98","83,89","6,88","204,8",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
71,72,67,45,38,"22,73","82,17","7,30","260,888",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
72,73,79,42,37,"24,87","82,84","6,59","295,609",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
73,74,78,43,42,"21,32","83,00","7,28","192,32",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
74,75,75,54,36,"26,30","84,57","7,02","257,491",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
75,76,97,36,45,"22,23","81,86","6,94","278,079",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
76,77,67,47,44,"26,73","81,79","7,87","280,404",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
77,78,73,35,38,"24,89","81,98","5,01","185,946",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
78,79,77,36,37,"26,88","81,46","6,14","194,577",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
79,80,81,41,38,"22,68","83,73","7,52","200,913",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
80,81,68,57,43,"26,09","80,38","5,71","182,904",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
81,82,72,45,35,"25,43","82,95","5,76","195,357",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
82,83,61,53,43,"26,40","81,06","6,35","223,367",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
83,84,67,43,39,"26,04","84,97","6,00","186,754",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
84,85,67,58,39,"25,28","80,54","5,45","220,116",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
85,86,66,60,38,"22,09","83,47","6,37","231,736",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
86,87,82,43,38,"23,29","81,43","5,11","242,317",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
87,88,84,50,44,"25,49","81,41","5,94","182,655",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
88,89,81,53,42,"23,68","81,04","5,18","233,703",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
89,90,91,50,40,"20,83","84,13","6,46","230,224",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
90,91,93,53,38,"26,93","81,91","7,07","290,679",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
91,92,90,44,38,"23,84","83,88","7,47","241,201",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
92,93,81,45,35,"26,53","80,12","6,16","218,916",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
93,94,78,40,38,"26,46","83,86","7,55","248,226",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
94,95,60,51,36,"22,70","82,81","6,03","256,996",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
95,96,88,46,42,"22,68","83,46","6,61","194,265",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
96,97,93,47,37,"21,53","82,14","6,50","295,925",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
97,98,60,55,45,"21,41","83,33","5,94","287,577",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
98,99,78,35,44,"26,54","84,67","7,07","183,622",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
99,100,65,37,40,"23,36","83,60","5,33","188,414",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
100,101,71,54,16,"22,61","63,69","5,75","877,595",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
101,102,61,44,17,"26,10","71,58","6,93","102,266",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
102,103,80,43,16,"23,56","71,59","6,66","667,2",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
103,104,73,58,21,"19,97","57,68","6,60","606,517",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
104,105,61,38,20,"18,48","62,70","5,97","654,384",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
105,106,68,41,16,"21,78","57,81","6,16","102,086",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
106,107,93,41,17,"25,62","66,50","6,05","105,465",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
107,108,89,60,19,"25,19","66,69","5,91","780,664",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
108,109,76,44,17,"20,42","62,55","5,86","652,78",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
109,110,67,60,25,"24,92","66,79","5,75","109,216",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
110,111,70,44,19,"23,32","73,45","5,85","942,971",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
111,112,90,49,21,"24,84","68,36","6,47","740,547",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
112,113,62,52,16,"22,28","58,84","6,97","638,702",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
113,114,92,44,16,"18,88","65,77","6,08","947,619",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
114,115,66,54,21,"25,19","60,20","5,92","721,238",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
115,116,63,58,22,"18,25","55,28","6,21","637,236",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
116,117,70,47,17,"24,61","70,42","6,60","104,163",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
117,118,61,41,17,"25,14","65,26","6,02","766,846",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
118,119,66,53,19,"23,09","60,12","6,03","654,973",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
119,120,74,55,19,"18,05","62,89","6,29","842,361",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
120,121,77,57,21,"24,93","73,80","6,55","797,408",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
121,122,99,50,15,"18,15","71,09","5,57","880,775",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
122,123,74,56,22,"18,28","66,66","6,83","809,757",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
123,124,83,45,21,"18,83","58,75","5,72","797,533",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
124,125,100,48,16,"25,72","67,22","5,55","745,149",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
125,126,79,51,16,"25,34","68,50","6,59","964,638",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
126,127,94,39,18,"23,89","57,49","5,89","102,83",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
127,128,75,49,15,"21,54","71,51","5,92","102,485",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
128,129,78,48,22,"23,09","63,11","5,59","704,347",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
129,130,87,54,20,"25,62","63,47","6,58","108,83",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
130,131,87,35,25,"21,45","63,16","6,18","658,895",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
131,132,63,43,19,"18,52","55,53","6,64","909,881",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
132,133,84,57,25,"22,54","67,99","6,49","644,087",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
133,134,64,35,23,"23,02","61,90","5,68","630,384",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
134,135,60,46,22,"24,89","65,61","6,63","879,298",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
135,136,98,44,21,"25,77","74,09","6,52","107,493",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
136,137,75,56,18,"19,40","62,36","5,70","609,52",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
137,138,86,55,21,"21,54","59,64","6,80","109,752",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
138,139,98,35,18,"23,80","74,83","6,25","917,634",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
139,140,76,57,18,"18,98","74,53","6,09","942,625",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
140,141,99,56,17,"24,11","73,13","6,23","710,756",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
141,142,60,44,23,"24,80","70,05","5,72","767,286",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
142,143,74,48,17,"21,63","60,28","6,43","692,18",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
143,144,89,60,17,"25,38","57,21","5,98","101,7",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
144,145,69,51,23,"22,22","72,86","6,80","106,621",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
145,146,96,46,22,"20,58","69,00","6,50","662,939",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
146,147,61,60,15,"24,88","68,74","6,27","912,606",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
147,148,74,58,18,"20,04","56,36","6,73","109,024",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
148,149,74,43,23,"25,95","61,89","6,33","995,798",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
149,150,63,43,17,"19,29","65,47","6,81","713,195",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
150,151,99,36,20,"20,58","65,35","6,67","783,46",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
151,152,77,36,23,"24,71","56,73","6,65","884,536",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
152,153,87,60,23,"20,27","63,91","6,44","625,035",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
153,154,60,38,17,"18,42","64,24","6,47","764,131",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
154,155,94,54,17,"23,39","61,74","5,87","107,32",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
155,156,95,38,22,"19,85","61,25","5,73","100,769",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
156,157,84,44,21,"21,87","61,91","5,85","107,268",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
157,158,77,58,19,"22,81","56,51","5,79","101,595",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
158,159,66,44,20,"19,08","69,02","6,74","807,252",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
159,160,63,35,16,"22,03","65,36","6,27","837,328",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
160,161,79,45,20,"23,81","59,25","5,72","899,622",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
161,162,72,60,25,"18,53","69,03","5,77","881,023",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
162,163,67,51,24,"23,50","61,32","5,58","647,779",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
163,164,86,36,24,"26,55","72,89","5,79","733,364",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
164,165,76,48,18,"19,30","69,64","5,78","832,103",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
165,166,75,53,18,"20,69","59,44","6,87","103,651",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
166,167,81,45,23,"19,33","68,03","6,19","842,297",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
167,168,73,45,21,"24,61","73,59","6,64","965,92",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
168,169,71,35,24,"22,27","59,52","5,83","679,67",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
169,170,96,54,22,"25,70","61,34","6,96","832,071",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
170,171,99,39,18,"19,20","68,31","6,11","878,509",maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10,40,400,2200,"-71,60188121","5,404063946"
